Domain,Subdomain,Keyword,wikipedia_link,secondary_wiki_link,tertiary_wiki_link
Education,Ancient Education,Gurukul,https://en.wikipedia.org/wiki/Gurukula,,
Education,Ancient Education,Ashram,https://en.wikipedia.org/wiki/Ashram,,
Education,Ancient Education,Vedic Education,https://en.wikipedia.org/wiki/Sanskrit_and_Vedic_learning,,
Education,Ancient Education,Upanishads,https://en.wikipedia.org/wiki/Upanishads,,
Education,Ancient Education,Guru-Shishya,https://en.wikipedia.org/wiki/Guru%E2%80%93shishya_tradition,,
Education,Ancient Education,Oral Tradition,https://en.wikipedia.org/wiki/Oral_tradition,,
Education,Ancient Education,Takshashila,https://en.wikipedia.org/wiki/Taxila,,
Education,Ancient Education,Nalanda,https://en.wikipedia.org/wiki/Nalanda_mahavihara,,
Education,Ancient Education,Vikramshila,https://en.wikipedia.org/wiki/Vikramashila,,
Education,Medieval Education,Madrasas,https://en.wikipedia.org/wiki/Madrasa,,
Education,Medieval Education,Gurukuls,https://en.wikipedia.org/wiki/Education_in_India,,
Education,Colonial Education,Hunter Commission,https://en.wikipedia.org/wiki/William_Wilson_Hunter,,
Education,Colonial Education,English Education,https://en.wikipedia.org/wiki/National_Council_of_Teachers_of_English,,
Education,Colonial Education,Serampore College,https://en.wikipedia.org/wiki/Serampore_College,,
Education,Modern Education System,CBSE,https://en.wikipedia.org/wiki/CBS%C3%A9,https://en.wikipedia.org/wiki/CBVE-FM,https://en.wikipedia.org/wiki/Central_Board_of_Secondary_Education
Education,Modern Education System,ICSE,https://en.wikipedia.org/wiki/International_Conference_on_Software_Engineering,https://en.wikipedia.org/wiki/Indian_Certificate_of_Secondary_Education,https://en.wikipedia.org/wiki/Intermediate-Current_Stability_Experiment
Education,Modern Education System,Kendriya Vidyalaya,https://en.wikipedia.org/wiki/Kendriya_Vidyalaya_Sangathan,,
Education,Modern Education System,Navodaya Vidyalaya,https://en.wikipedia.org/wiki/Jawahar_Navodaya_Vidyalaya,,
Education,Modern Education System,NCERT,https://en.wikipedia.org/wiki/National_Council_of_Educational_Research_and_Training,,
Education,Higher Education,Universities,https://en.wikipedia.org/wiki/University,,
Education,Higher Education,IITs,https://en.wikipedia.org/wiki/Indian_Institutes_of_Technology,,
Education,Higher Education,IIMs,https://en.wikipedia.org/wiki/Indian_Institutes_of_Management,,
Education,Higher Education,IISc,https://en.wikipedia.org/wiki/Indian_Institute_of_Science,,
Education,Higher Education,AIIMS,https://en.wikipedia.org/wiki/All_India_Institutes_of_Medical_Sciences,,
Education,Higher Education,NITs,https://en.wikipedia.org/wiki/National_Institutes_of_Technology,,
Education,Higher Education,State Universities,https://en.wikipedia.org/wiki/State_university_system,,
Education,Higher Education,Private Universities,https://en.wikipedia.org/wiki/Private_university,,
Education,Higher Education,Deemed Universities,https://en.wikipedia.org/wiki/List_of_deemed_universities,,
