Domain,Subdomain,Keyword,wikipedia_link,secondary_wiki_link,tertiary_wiki_link,language_count,as,as_wiki_link,bn,bn_wiki_link,gu,gu_wiki_link,hi,hi_wiki_link,kn,kn_wiki_link,ml,ml_wiki_link,mr,mr_wiki_link,or,or_wiki_link,ta,ta_wiki_link,te,te_wiki_link
Geography,Mountains,Himalayas,https://en.wikipedia.org/wiki/Himalayas,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC,bn,https://bn.wikipedia.org/wiki/%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%AF%E0%A6%BC_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%B9%E0%AA%BF%E0%AA%AE%E0%AA%BE%E0%AA%B2%E0%AA%AF,hi,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%AF,kn,https://kn.wikipedia.org/wiki/%E0%B2%B9%E0%B2%BF%E0%B2%AE%E0%B2%BE%E0%B2%B2%E0%B2%AF,ml,https://ml.wikipedia.org/wiki/%E0%B4%B9%E0%B4%BF%E0%B4%AE%E0%B4%BE%E0%B4%B2%E0%B4%AF%E0%B4%82,mr,https://mr.wikipedia.org/wiki/%E0%A4%B9%E0%A4%BF%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%AF,or,https://or.wikipedia.org/wiki/%E0%AC%B9%E0%AC%BF%E0%AC%AE%E0%AC%BE%E0%AC%B3%E0%AD%9F,ta,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%AE%E0%AE%AF%E0%AE%AE%E0%AE%B2%E0%AF%88,te,https://te.wikipedia.org/wiki/%E0%B0%B9%E0%B0%BF%E0%B0%AE%E0%B0%BE%E0%B0%B2%E0%B0%AF%E0%B0%BE%E0%B0%B2%E0%B1%81
Geography,Mountains,Karakoram,https://en.wikipedia.org/wiki/Karakoram,,,8,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%AE,gu,https://gu.wikipedia.org/wiki/%E0%AA%95%E0%AA%BE%E0%AA%B0%E0%AA%BE%E0%AA%95%E0%AB%8B%E0%AA%B0%E0%AA%AE_%E0%AA%AA%E0%AA%B0%E0%AB%8D%E0%AA%B5%E0%AA%A4%E0%AA%AE%E0%AA%BE%E0%AA%B3%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A4%AE,kn,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B2%B0%E0%B2%95%E0%B3%8A%E0%B2%B0%E0%B2%82,ml,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B4%BE%E0%B4%B0%E0%B4%95%E0%B5%8D%E0%B4%95%E0%B5%8B%E0%B4%B1%E0%B4%82,mr,https://mr.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B0%E0%A4%BE%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A4%AE_%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%A4%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%97,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%95%E0%AF%8B%E0%AE%B0%E0%AE%AE%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%95%E0%B0%BE%E0%B0%B0%E0%B0%95%E0%B1%8B%E0%B0%B0%E0%B0%82
Geography,Mountains,Western Ghats,https://en.wikipedia.org/wiki/Western_Ghats,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE%E0%A6%98%E0%A6%BE%E0%A6%9F_%E0%A6%AA%E0%A7%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A6%B6%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%AE%E0%A6%98%E0%A6%BE%E0%A6%9F_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%AA%E0%AA%B6%E0%AB%8D%E0%AA%9A%E0%AA%BF%E0%AA%AE_%E0%AA%98%E0%AA%BE%E0%AA%9F,hi,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A4%B6%E0%A5%8D%E0%A4%9A%E0%A4%BF%E0%A4%AE%E0%A5%80_%E0%A4%98%E0%A4%BE%E0%A4%9F,kn,https://kn.wikipedia.org/wiki/%E0%B2%AA%E0%B2%B6%E0%B3%8D%E0%B2%9A%E0%B2%BF%E0%B2%AE_%E0%B2%98%E0%B2%9F%E0%B3%8D%E0%B2%9F%E0%B2%97%E0%B2%B3%E0%B3%81,ml,https://ml.wikipedia.org/wiki/%E0%B4%AA%E0%B4%B6%E0%B5%8D%E0%B4%9A%E0%B4%BF%E0%B4%AE%E0%B4%98%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B4%82,mr,https://mr.wikipedia.org/wiki/%E0%A4%B8%E0%A4%B9%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A6%E0%A5%8D%E0%A4%B0%E0%A5%80,or,https://or.wikipedia.org/wiki/%E0%AC%AA%E0%AC%B6%E0%AD%8D%E0%AC%9A%E0%AC%BF%E0%AC%AE_%E0%AC%98%E0%AC%BE%E0%AC%9F,ta,https://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AF%87%E0%AE%B1%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AF%8A%E0%AE%9F%E0%AE%B0%E0%AF%8D%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF_%E0%AE%AE%E0%AE%B2%E0%AF%88,te,https://te.wikipedia.org/wiki/%E0%B0%AA%E0%B0%A1%E0%B0%AE%E0%B0%9F%E0%B0%BF_%E0%B0%95%E0%B0%A8%E0%B1%81%E0%B0%AE%E0%B0%B2%E0%B1%81
Geography,Mountains,Eastern Ghats,https://en.wikipedia.org/wiki/Eastern_Ghats,,,7,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%AA%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%98%E0%A6%BE%E0%A6%9F_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%AA%E0%AB%82%E0%AA%B0%E0%AB%8D%E0%AA%B5_%E0%AA%98%E0%AA%BE%E0%AA%9F,hi,https://hi.wikipedia.org/wiki/%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A5%80_%E0%A4%98%E0%A4%BE%E0%A4%9F,kn,,ml,https://ml.wikipedia.org/wiki/%E0%B4%AA%E0%B5%82%E0%B5%BC%E0%B4%B5%E0%B5%8D%E0%B4%B5%E0%B4%98%E0%B4%9F%E0%B5%8D%E0%B4%9F%E0%B4%82,mr,https://mr.wikipedia.org/wiki/%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%B5_%E0%A4%98%E0%A4%BE%E0%A4%9F,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%BF%E0%AE%B4%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AF%8D_%E0%AE%A4%E0%AF%8A%E0%AE%9F%E0%AE%B0%E0%AF%8D%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF_%E0%AE%AE%E0%AE%B2%E0%AF%88%E0%AE%95%E0%AE%B3%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%A4%E0%B1%82%E0%B0%B0%E0%B1%8D%E0%B0%AA%E0%B1%81_%E0%B0%95%E0%B0%A8%E0%B1%81%E0%B0%AE%E0%B0%B2%E0%B1%81
Geography,Mountains,Vindhya,https://en.wikipedia.org/wiki/Vindhya_Range,,,8,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%8D%E0%A6%AF_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%B5%E0%AA%BF%E0%AA%82%E0%AA%A7%E0%AB%8D%E0%AA%AF%E0%AA%BE%E0%AA%9A%E0%AA%B2,hi,https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%9A%E0%A4%B2_%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%A4_%E0%A4%B6%E0%A5%83%E0%A4%82%E0%A4%96%E0%A4%B2%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%B5%E0%B2%BF%E0%B2%82%E0%B2%A7%E0%B3%8D%E0%B2%AF_%E0%B2%AA%E0%B2%B0%E0%B3%8D%E0%B2%B5%E0%B2%A4%E0%B2%97%E0%B2%B3%E0%B3%81,ml,https://ml.wikipedia.org/wiki/%E0%B4%B5%E0%B4%BF%E0%B4%A8%E0%B5%8D%E0%B4%A7%E0%B5%8D%E0%B4%AF_%E0%B4%AA%E0%B5%BC%E2%80%8C%E0%B4%B5%E0%B4%A4%E0%B4%A8%E0%B4%BF%E0%B4%B0%E0%B4%95%E0%B5%BE,mr,https://mr.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%82%E0%A4%A7%E0%A5%8D%E0%A4%AF_%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%A4%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%97,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AE%BF%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%AF_%E0%AE%AE%E0%AE%B2%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%8A%E0%AE%9F%E0%AE%B0%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%B5%E0%B0%BF%E0%B0%82%E0%B0%A7%E0%B1%8D%E0%B0%AF_%E0%B0%AA%E0%B0%B0%E0%B1%8D%E0%B0%B5%E0%B0%A4%E0%B0%BE%E0%B0%B2%E0%B1%81
Geography,Mountains,Aravalli,https://en.wikipedia.org/wiki/Aravalli_Range,https://en.wikipedia.org/wiki/Aravalli_district,"https://en.wikipedia.org/wiki/Aravalli,_West_Godavari",8,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%86%E0%A6%B0%E0%A6%BE%E0%A6%AC%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A7%80_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A3%E0%A7%80,gu,https://gu.wikipedia.org/wiki/%E0%AA%85%E0%AA%B0%E0%AA%B5%E0%AA%B2%E0%AB%8D%E0%AA%B2%E0%AB%80,hi,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A4%B2%E0%A5%80,kn,https://kn.wikipedia.org/wiki/%E0%B2%85%E0%B2%B0%E0%B2%BE%E0%B2%B5%E0%B2%B3%E0%B2%BF_%E0%B2%AA%E0%B2%B0%E0%B3%8D%E0%B2%B5%E0%B2%A4%E0%B2%97%E0%B2%B3%E0%B3%81,ml,https://ml.wikipedia.org/wiki/%E0%B4%85%E0%B4%B0%E0%B4%BE%E0%B4%B5%E0%B4%B2%E0%B4%BF_%E0%B4%AA%E0%B5%BC%E0%B4%B5%E0%B4%A4%E0%B4%A8%E0%B4%BF%E0%B4%B0,mr,https://mr.wikipedia.org/wiki/%E0%A4%85%E0%A4%B0%E0%A4%B5%E0%A4%B2%E0%A5%80_%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%A4%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%97,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%B0%E0%AE%B5%E0%AE%B2%E0%AF%8D%E0%AE%B2%E0%AE%BF_%E0%AE%AE%E0%AE%B2%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%8A%E0%AE%9F%E0%AE%B0%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%B0%E0%B0%BE%E0%B0%B5%E0%B0%B3%E0%B0%BF_%E0%B0%AA%E0%B0%B0%E0%B1%8D%E0%B0%B5%E0%B0%A4_%E0%B0%B6%E0%B1%8D%E0%B0%B0%E0%B1%87%E0%B0%A3%E0%B1%81%E0%B0%B2%E0%B1%81
Geography,Mountains,Satpura,https://en.wikipedia.org/wiki/Satpura_Range,,,9,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%B8%E0%A6%BE%E0%A6%A4%E0%A6%AA%E0%A7%81%E0%A6%B0%E0%A6%BE_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A3%E0%A7%80,gu,https://gu.wikipedia.org/wiki/%E0%AA%B8%E0%AA%BE%E0%AA%A4%E0%AA%AA%E0%AB%81%E0%AA%A1%E0%AA%BE_%E0%AA%AA%E0%AA%B0%E0%AB%8D%E0%AA%B5%E0%AA%A4%E0%AA%AE%E0%AA%BE%E0%AA%B3%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%B8%E0%A4%A4%E0%A4%AA%E0%A5%81%E0%A4%A1%E0%A4%BC%E0%A4%BE_%E0%A4%AA%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%A4%E0%A4%AE%E0%A4%BE%E0%A4%B2%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%B8%E0%B2%BE%E0%B2%A4%E0%B3%8D%E0%B2%AA%E0%B3%81%E0%B2%B0_%E0%B2%AA%E0%B2%B0%E0%B3%8D%E0%B2%B5%E0%B2%A4%E0%B2%97%E0%B2%B3%E0%B3%81,ml,https://ml.wikipedia.org/wiki/%E0%B4%B8%E0%B4%A4%E0%B5%8D%E0%B4%AA%E0%B5%81%E0%B4%B0_%E0%B4%AA%E0%B5%BC%E0%B4%B5%E0%B4%A4%E0%B4%A8%E0%B4%BF%E0%B4%B0,mr,https://mr.wikipedia.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%A4%E0%A4%AA%E0%A5%81%E0%A4%A1%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%B6%E0%AC%A4%E0%AC%AA%E0%AD%81%E0%AC%B0%E0%AC%BE_%E0%AC%B0%E0%AD%87%E0%AC%9E%E0%AD%8D%E0%AC%9C,ta,https://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AE%BE%E0%AE%A4%E0%AF%8D%E0%AE%AA%E0%AF%82%E0%AE%B0%E0%AE%BE_%E0%AE%AE%E0%AE%B2%E0%AF%88%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AF%8A%E0%AE%9F%E0%AE%B0%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%B8%E0%B0%BE%E0%B0%A4%E0%B1%8D%E0%B0%AA%E0%B1%81%E0%B0%B0%E0%B0%BE_%E0%B0%AA%E0%B0%B0%E0%B1%8D%E0%B0%B5%E0%B0%A4_%E0%B0%B6%E0%B1%8D%E0%B0%B0%E0%B1%87%E0%B0%A3%E0%B0%BF
Geography,Mountains,Nilgiri,https://en.wikipedia.org/wiki/Nilgiri_Biosphere_Reserve,https://en.wikipedia.org/wiki/Nilgiri_Mountains,https://en.wikipedia.org/wiki/Nilgiri_Mountain_Railway,4,as,,bn,,gu,,hi,https://hi.wikipedia.org/wiki/%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%BF_%E0%A4%B8%E0%A4%82%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%A4_%E0%A4%9C%E0%A5%88%E0%A4%B5%E0%A4%AE%E0%A4%82%E0%A4%A1%E0%A4%B2,kn,,ml,https://ml.wikipedia.org/wiki/%E0%B4%A8%E0%B5%80%E0%B4%B2%E0%B4%97%E0%B4%BF%E0%B4%B0%E0%B4%BF_%E0%B4%9C%E0%B5%88%E0%B4%B5_%E0%B4%B5%E0%B5%88%E0%B4%B5%E0%B4%BF%E0%B4%A7%E0%B5%8D%E0%B4%AF%E0%B4%AE%E0%B4%A3%E0%B5%8D%E0%B4%A1%E0%B4%B2%E0%B4%82,mr,https://mr.wikipedia.org/wiki/%E0%A4%A8%E0%A4%BF%E0%A4%B2%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A5%80_%E0%A4%B8%E0%A4%82%E0%A4%B0%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BF%E0%A4%A4_%E0%A4%9C%E0%A5%88%E0%A4%B5%E0%A4%BF%E0%A4%95_%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A5%87%E0%A4%A4%E0%A5%8D%E0%A4%B0,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%A8%E0%AF%80%E0%AE%B2%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AE%BF_%E0%AE%89%E0%AE%AF%E0%AE%BF%E0%AE%B0%E0%AF%8D%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%B3%E0%AE%95%E0%AF%8D_%E0%AE%95%E0%AE%BE%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AE%AE%E0%AF%8D,te,
Geography,Mountains,Shivalik,https://en.wikipedia.org/wiki/Sivalik_Hills,https://en.wikipedia.org/wiki/Shivalik-class_frigate,https://en.wikipedia.org/wiki/INS_Shivalik,7,as,,bn,https://bn.wikipedia.org/wiki/%E0%A6%B6%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95_%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%A4%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A3%E0%A6%BF,gu,,hi,https://hi.wikipedia.org/wiki/%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95,kn,https://kn.wikipedia.org/wiki/%E0%B2%B6%E0%B2%BF%E0%B2%B5%E0%B2%BE%E0%B2%B2%E0%B2%BF%E0%B2%95_%E0%B2%AA%E0%B2%B0%E0%B3%8D%E0%B2%B5%E0%B2%A4%E0%B2%97%E0%B2%B3%E0%B3%81,ml,https://ml.wikipedia.org/wiki/%E0%B4%B6%E0%B4%BF%E0%B4%B5%E0%B4%BE%E0%B4%B2%E0%B4%BF%E0%B4%95%E0%B5%8D_%E0%B4%AE%E0%B4%B2%E0%B4%A8%E0%B4%BF%E0%B4%B0%E0%B4%95%E0%B5%BE,mr,https://mr.wikipedia.org/wiki/%E0%A4%B6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%B2%E0%A4%BF%E0%A4%95_%E0%A4%B0%E0%A4%BE%E0%A4%82%E0%A4%97,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%BE%E0%AE%B2%E0%AE%BF%E0%AE%95%E0%AF%8D_%E0%AE%AE%E0%AE%B2%E0%AF%88,te,https://te.wikipedia.org/wiki/%E0%B0%B6%E0%B0%BF%E0%B0%B5%E0%B0%BE%E0%B0%B2%E0%B0%BF%E0%B0%95%E0%B1%8D_%E0%B0%95%E0%B1%8A%E0%B0%82%E0%B0%A1%E0%B0%B2%E0%B1%81
Geography,Mountains,Anamudi,https://en.wikipedia.org/wiki/Anamudi,,,6,as,,bn,,gu,,hi,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%BE%E0%A4%87%E0%A4%AE%E0%A5%81%E0%A4%A1%E0%A5%80,kn,https://kn.wikipedia.org/wiki/%E0%B2%86%E0%B2%A8%E0%B3%86%E0%B2%AE%E0%B3%81%E0%B2%A1%E0%B2%BF_%E0%B2%B6%E0%B2%BF%E0%B2%96%E0%B2%B0,ml,https://ml.wikipedia.org/wiki/%E0%B4%86%E0%B4%A8%E0%B4%AE%E0%B5%81%E0%B4%9F%E0%B4%BF,mr,https://mr.wikipedia.org/wiki/%E0%A4%85%E0%A4%A8%E0%A4%BE%E0%A4%88_%E0%A4%AE%E0%A5%81%E0%A4%A6%E0%A5%80_%E0%A4%B6%E0%A4%BF%E0%A4%96%E0%A4%B0,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%A9%E0%AF%88%E0%AE%AE%E0%AF%81%E0%AE%9F%E0%AE%BF_(%E0%AE%AE%E0%AE%B2%E0%AF%88),te,https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%A8%E0%B0%AE%E0%B1%81%E0%B0%A1%E0%B0%BF
