Domain,Subdomain,Keyword,wikipedia_link,secondary_wiki_link,tertiary_wiki_link,language_count,as,as_wiki_link,bn,bn_wiki_link,gu,gu_wiki_link,hi,hi_wiki_link,kn,kn_wiki_link,ml,ml_wiki_link,mr,mr_wiki_link,or,or_wiki_link,ta,ta_wiki_link,te,te_wiki_link
Culture,Languages,Assamese Language,https://en.wikipedia.org/wiki/Assamese_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%85%E0%A6%B8%E0%A6%AE%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%85%E0%A6%B8%E0%A6%AE%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A6%BE_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%85%E0%AA%B8%E0%AA%AE%E0%AA%BF%E0%AA%AF%E0%AA%BE_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%85%E0%A4%B8%E0%A4%AE%E0%A4%BF%E0%A4%AF%E0%A4%BE_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%85%E0%B2%B8%E0%B3%8D%E0%B2%B8%E0%B2%BE%E0%B2%AE%E0%B2%BF_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%86%E0%B4%B8%E0%B5%8D%E0%B4%B8%E0%B4%BE%E0%B4%AE%E0%B5%80%E0%B4%B8%E0%B5%8D,mr,https://mr.wikipedia.org/wiki/%E0%A4%86%E0%A4%B8%E0%A4%BE%E0%A4%AE%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%85%E0%AC%B8%E0%AC%AE%E0%AD%80%E0%AD%9F%E0%AC%BE_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%85%E0%AE%9A%E0%AE%BE%E0%AE%AE%E0%AE%BF%E0%AE%AF_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%85%E0%B0%B8%E0%B1%8D%E0%B0%B8%E0%B0%BE%E0%B0%AE%E0%B1%80_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Bengali Language,https://en.wikipedia.org/wiki/Bengali_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%AC%E0%AA%82%E0%AA%97%E0%AA%BE%E0%AA%B3%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%AC%E0%B2%82%E0%B2%97%E0%B2%BE%E0%B2%B3%E0%B2%BF_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%AC%E0%B4%82%E0%B4%97%E0%B4%BE%E0%B4%B3%E0%B4%BF_%E0%B4%AD%E0%B4%BE%E0%B4%B7,mr,https://mr.wikipedia.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%97%E0%A4%BE%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%AC%E0%AC%99%E0%AD%8D%E0%AC%97%E0%AC%B3%E0%AC%BE_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%B5%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B3_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%AC%E0%B0%82%E0%B0%97%E0%B1%8D%E0%B0%B2%E0%B0%BE_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Bodo Language,https://en.wikipedia.org/wiki/Boro_language_(India),,,10,as,https://as.wikipedia.org/wiki/%E0%A6%AC%E0%A6%A1%E0%A6%BC%E0%A7%8B_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%8B%E0%A6%A1%E0%A6%BC%E0%A7%8B_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%AC%E0%AB%8B%E0%AA%A1%E0%AB%8B_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%A1%E0%A4%BC%E0%A5%8B_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%AC%E0%B3%8A%E0%B2%A1%E0%B3%8A_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%AC%E0%B5%8B%E0%B4%A1%E0%B5%8B,mr,https://mr.wikipedia.org/wiki/%E0%A4%AC%E0%A5%8B%E0%A4%A1%E0%A5%8B_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%AC%E0%AD%8B%E0%AC%A1%E0%AC%BC%E0%AD%8B_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%AA%E0%AF%8B%E0%AE%9F%E0%AF%8B_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%AC%E0%B1%8B%E0%B0%A1%E0%B1%8B_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Dogri Language,https://en.wikipedia.org/wiki/Dogri_language,,,9,as,https://as.wikipedia.org/wiki/%E0%A6%A1%E0%A7%8B%E0%A6%97%E0%A7%8D%E0%A7%B0%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%A1%E0%A7%8B%E0%A6%97%E0%A6%B0%E0%A6%BF_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%A1%E0%AB%8B%E0%AA%97%E0%AA%B0%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%A1%E0%A5%8B%E0%A4%97%E0%A4%B0%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%A1%E0%B3%8B%E0%B2%97%E0%B3%8D%E0%B2%B0%E0%B2%BF_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%A6%E0%B5%8B%E0%B4%97%E0%B5%8D%E0%B4%B0%E0%B4%BF,mr,https://mr.wikipedia.org/wiki/%E0%A4%A1%E0%A5%8B%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,,ta,https://ta.wikipedia.org/wiki/%E0%AE%A4%E0%AF%8B%E0%AE%95%E0%AF%8D%E0%AE%B0%E0%AE%BF_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%A1%E0%B1%8B%E0%B0%97%E0%B1%8D%E0%B0%B0%E0%B1%80_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Gujarati Language,https://en.wikipedia.org/wiki/Gujarati_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%9C%E0%A7%B0%E0%A6%BE%E0%A6%9F%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%9C%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A6%BF_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%97%E0%AB%81%E0%AA%9C%E0%AA%B0%E0%AA%BE%E0%AA%A4%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%9C%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%97%E0%B3%81%E0%B2%9C%E0%B2%B0%E0%B2%BE%E0%B2%A4%E0%B2%BF_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%97%E0%B5%81%E0%B4%9C%E0%B4%B1%E0%B4%BE%E0%B4%A4%E0%B5%8D%E0%B4%A4%E0%B4%BF_%E0%B4%AD%E0%B4%BE%E0%B4%B7,mr,https://mr.wikipedia.org/wiki/%E0%A4%97%E0%A5%81%E0%A4%9C%E0%A4%B0%E0%A4%BE%E0%A4%A4%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%97%E0%AD%81%E0%AC%9C%E0%AC%B0%E0%AC%BE%E0%AC%9F%E0%AD%80_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AF%81%E0%AE%9C%E0%AE%B0%E0%AE%BE%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%97%E0%B1%81%E0%B0%9C%E0%B0%B0%E0%B0%BE%E0%B0%A4%E0%B1%80_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Hindi Language,https://en.wikipedia.org/wiki/Hindi,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%B9%E0%AA%BF%E0%AA%82%E0%AA%A6%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%B9%E0%A4%BF%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A5%80,kn,https://kn.wikipedia.org/wiki/%E0%B2%B9%E0%B2%BF%E0%B2%82%E0%B2%A6%E0%B2%BF_%E0%B2%AD%E0%B2%BE%E0%B2%B7%E0%B3%86,ml,https://ml.wikipedia.org/wiki/%E0%B4%B9%E0%B4%BF%E0%B4%A8%E0%B5%8D%E0%B4%A6%E0%B4%BF,mr,https://mr.wikipedia.org/wiki/%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%B9%E0%AC%BF%E0%AC%A8%E0%AD%8D%E0%AC%A6%E0%AD%80,ta,https://ta.wikipedia.org/wiki/%E0%AE%87%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%B9%E0%B0%BF%E0%B0%82%E0%B0%A6%E0%B1%80
Culture,Languages,Kannada Language,https://en.wikipedia.org/wiki/Kannada,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%95%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%A1%E0%A6%BC_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%A1%E0%A6%BC_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%95%E0%AA%A8%E0%AB%8D%E0%AA%A8%E0%AA%A1_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%A1%E0%A4%BC_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B2%A8%E0%B3%8D%E0%B2%A8%E0%B2%A1,ml,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B4%A8%E0%B5%8D%E0%B4%A8%E0%B4%A1,mr,https://mr.wikipedia.org/wiki/%E0%A4%95%E0%A4%A8%E0%A5%8D%E0%A4%A8%E0%A4%A1_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%95%E0%AC%A8%E0%AD%8D%E0%AC%A8%E0%AC%A1%E0%AC%BC_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%9F%E0%AE%AE%E0%AF%8D,te,https://te.wikipedia.org/wiki/%E0%B0%95%E0%B0%A8%E0%B1%8D%E0%B0%A8%E0%B0%A1_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Kashmiri Language,https://en.wikipedia.org/wiki/Kashmiri_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A7%B0%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%B0%E0%A6%BF_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%95%E0%AA%BE%E0%AA%B6%E0%AB%8D%E0%AA%AE%E0%AB%80%E0%AA%B0%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A5%80%E0%A4%B0%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B2%BE%E0%B2%B6%E0%B3%8D%E0%B2%AE%E0%B3%80%E0%B2%B0%E0%B2%BF,ml,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B4%B6%E0%B5%8D%E0%B4%AE%E0%B5%80%E0%B4%B0%E0%B4%BF_%E0%B4%AD%E0%B4%BE%E0%B4%B7,mr,https://mr.wikipedia.org/wiki/%E0%A4%95%E0%A4%BE%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A4%BF%E0%A4%B0%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%95%E0%AC%BE%E0%AC%B6%E0%AD%8D%E0%AC%AE%E0%AD%80%E0%AC%B0%E0%AD%80_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AE%BE%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AF%80%E0%AE%B0%E0%AE%BF_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%95%E0%B0%BE%E0%B0%B6%E0%B1%8D%E0%B0%AE%E0%B1%80%E0%B0%B0%E0%B1%80_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Konkani Language,https://en.wikipedia.org/wiki/Konkani_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%95%E0%A7%8B%E0%A6%82%E0%A6%95%E0%A6%A3%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%95%E0%A7%8B%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%A3%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%95%E0%AB%8B%E0%AA%82%E0%AA%95%E0%AA%A3%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%82%E0%A4%95%E0%A4%A3%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%95%E0%B3%8A%E0%B2%82%E0%B2%95%E0%B2%A3%E0%B2%BF,ml,https://ml.wikipedia.org/wiki/%E0%B4%95%E0%B5%8A%E0%B4%99%E0%B5%8D%E0%B4%95%E0%B4%A3%E0%B4%BF_%E0%B4%AD%E0%B4%BE%E0%B4%B7,mr,https://mr.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%82%E0%A4%95%E0%A4%A3%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%95%E0%AD%8B%E0%AC%99%E0%AD%8D%E0%AC%95%E0%AC%A3%E0%AD%80_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%95%E0%AF%8A%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%A3%E0%AE%BF_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%95%E0%B1%8A%E0%B0%82%E0%B0%95%E0%B0%A3%E0%B0%BF_%E0%B0%AD%E0%B0%BE%E0%B0%B7
Culture,Languages,Maithili Language,https://en.wikipedia.org/wiki/Maithili_language,,,10,as,https://as.wikipedia.org/wiki/%E0%A6%AE%E0%A7%88%E0%A6%A5%E0%A6%BF%E0%A6%B2%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,bn,https://bn.wikipedia.org/wiki/%E0%A6%AE%E0%A7%88%E0%A6%A5%E0%A6%BF%E0%A6%B2%E0%A7%80_%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE,gu,https://gu.wikipedia.org/wiki/%E0%AA%AE%E0%AB%88%E0%AA%A5%E0%AA%BF%E0%AA%B2%E0%AB%80_%E0%AA%AD%E0%AA%BE%E0%AA%B7%E0%AA%BE,hi,https://hi.wikipedia.org/wiki/%E0%A4%AE%E0%A5%88%E0%A4%A5%E0%A4%BF%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,kn,https://kn.wikipedia.org/wiki/%E0%B2%AE%E0%B3%88%E0%B2%A5%E0%B2%BF%E0%B2%B2%E0%B2%BF,ml,https://ml.wikipedia.org/wiki/%E0%B4%AE%E0%B5%88%E0%B4%A5%E0%B4%BF%E0%B4%B2%E0%B4%BF_%E0%B4%AD%E0%B4%BE%E0%B4%B7,mr,https://mr.wikipedia.org/wiki/%E0%A4%AE%E0%A5%88%E0%A4%A5%E0%A4%BF%E0%A4%B2%E0%A5%80_%E0%A4%AD%E0%A4%BE%E0%A4%B7%E0%A4%BE,or,https://or.wikipedia.org/wiki/%E0%AC%AE%E0%AD%88%E0%AC%A5%E0%AC%BF%E0%AC%B3%E0%AD%80_%E0%AC%AD%E0%AC%BE%E0%AC%B7%E0%AC%BE,ta,https://ta.wikipedia.org/wiki/%E0%AE%AE%E0%AF%88%E0%AE%A4%E0%AE%BF%E0%AE%B2%E0%AE%BF_%E0%AE%AE%E0%AF%8A%E0%AE%B4%E0%AE%BF,te,https://te.wikipedia.org/wiki/%E0%B0%AE%E0%B1%88%E0%B0%A5%E0%B0%BF%E0%B0%B2%E0%B1%80_%E0%B0%AD%E0%B0%BE%E0%B0%B7
